Korean,Romanization,Frequency,English
눈,nun,984.297,eye
손,son,899.685,hand
얼굴,eolgul,765.296,face
몸,mom,675.328,body
머리,meori,566.186,head
입,ip,455.720,mouth
발,bal,310.877,foot
가슴,gaseum,291.878,chest
귀,gwi,238.209,ear
다리,dari,222.066,leg
팔,pal,207.798,arm
배,bae,202.984,stomach
코,ko,187.896,nose
손가락,songarak,91.920,finger
무릎,mureup,90.660,knee
등,deung,81.674,back
입술,ipsul,76.416,lips
이마,ima,64.061,forehead
턱,teok,63.831,chin
신체,sinche,56.037,body
심장,simjang,48.778,heart
손바닥,sonbadak,44.719,palm
엉덩이,eongdeongi,36.878,hips
뺨,ppyam,32.228,cheek
볼,bol,31.970,cheek
수염,suyeom,30.684,beard
이,i,27.532,teeth
눈동자,nundongja,20.249,eyeball
눈썹,nunsseop,20.011,eyebrow
궁둥이,gungdungi,12.663,buttocks
허벅지,heobeokji,12.494,thigh
손등,sondeung,11.793,back
종아리,jongari,10.929,calf
발바닥,balbadak,9.836,sole
발가락,balgarak,9.504,toe
대머리,daemeori,9.386,bald
발등,baldeung,8.063,top
어깨,eokkae,8.063,shoulder
파마,pama,5.096,perm
미간,migan,4.493,glabella
콧등,kotdeung,4.472,bridge
쌍꺼풀,ssangkkeopul,3.209,double
허파,heopa,3.125,lung
속눈썹,songnunsseop,3.051,eyelashes
콧대,kotdae,3.016,bridge
곱슬머리,gopseulmeori,1.381,curly
간,gan,1.068,liver
위,wi,0.044,stomach
