Korean,Romanization,Frequency,English
안경,angyeong,40.315,eyeglasses
반지,banji,22.256,ring
넥타이,nektai,16.341,necktie
손수건,sonsugeon,15.620,handkerchief
장갑,janggap,11.139,gloves
목걸이,mokgeori,9.306,necklace
스카프,seukapeu,6.327,scarf
마스크,maseukeu,5.512,mask
귀걸이,gwigeori,4.159,earring
목도리,mokdori,3.299,muffler
팔찌,paljji,2.341,bracelet
머리띠,meoritti,1.863,headband
머리핀,meoripin,0.899,hairpin
시계,sigye,0.180,watch
치마,chima,67.176,skirt
바지,baji,62.120,pants
모자,moja,53.454,hat
양복,yangbok,26.009,suit
코트,koteu,21.630,coat
양말,yangmal,17.661,socks
정장,jeongjang,11.708,suit
외투,oetu,7.823,coat
원피스,wonpiseu,7.637,dress
스커트,seukeoteu,7.190,skirt
조끼,jokki,6.200,vest
스타킹,seutaking,5.095,stocking
투피스,tupiseu,2.199,two-piece
미니스커트,miniseukeoteu,2.004,miniskirt
저고리,jeogori,41.956,Korean traditional jacket
한복,hanbok,29.391,hanbok
버선,beoseon,18.807,Korean traditional socks
두루마기,durumagi,13.855,Korean traditional overcoat
