Korean,Romanization,Frequency,English
그것,geugeot,3095.946,it/that
뭐,mwo,1940.217,what
이것,igeot,1552.066,this
무엇,mueot,890.071,what
이거,igeo,863.652,this
그거,geugeo,663.643,that/it
거(=그거),geo,539.744,that/it
뭣,mwot,131.982,what
저거,jeogeo,125.936,that
저것,jeogeot,109.066,that
무어,mueo,30.944,what
그리고,geurigo,1314.886,and
근데,geunde,1035.663,but/however
그런데,geureonde,826.663,but/however
그러니까,geureonikka,632.831,so/therefore
그럼,geureom,594.814,then/in that case
그러면,geureomyeon,497.067,then/if so
그리구,geurigu,150.134,and
그렇지만,geureochiman,103.377,but/however
그니까,geunikka,24.286,so
글구,geulgu,3.274,and
그치만,geuchiman,3.071,but
