Korean,Romanization,Frequency,English
희다,huida,114.343,to be white
하얗다,hayahda,94.291,to be white
빨갛다,ppalgahda,54.133,to be red
노랗다,norahda,34.437,to be yellow
까맣다,kkamahda,30.003,to be black
파랗다,parahda,26.185,to be blue
검정,geomjeong,19.387,black
노랑,norang,15.056,yellow
흰색,huinsaek,14.337,white
회색,hoesaek,13.291,gray
갈색,galsaek,12.002,brown
초록,chorok,11.803,green
빨간색,ppalgansaek,8.693,red
검은색,geomeunsaek,6.566,black
노란색,noransaek,6.544,yellow
파랑,parang,6.184,blue
빨강,ppalgang,6.058,red
분홍,bunhong,5.951,pink
파란색,paransaek,5.919,blue
초록색,choroksaek,5.397,green
보라색,borasaek,5.090,purple
분홍색,bunhongsaek,4.419,pink
하늘색,haneulsaek,3.516,sky blue
핑크,pingkeu,3.197,pink
연두색,yeondusaek,2.844,light green
하얀색,hayansaek,2.178,white
하양,hayang,1.836,white
주황색,juhwangsaek,1.805,orange
보라,bora,1.051,purple
주황,juhwang,0.549,orange
