Korean,Romanization,Frequency,English
로마,roma,45.476,Rome
뉴욕,nyuyok,40.004,New
파리,pari,36.513,Paris
북경,bukgyeong,29.784,Beijing
동경,donggyeong,28.721,Tokyo
워싱턴,wosingteon,27.639,Washington
모스크바,moseukeuba,24.277,Moscow
도쿄,dokyo,23.757,Tokyo
런던,leondeon,16.621,London
서울,seoul,757.163,Seoul
부산,busan,123.028,Busan
대구,daegu,99.719,Daegu
광주,gwangju,95.970,Gwangju
평양,pyeongyang,81.478,Pyeongyang
제주,jeju,81.247,Jeju
인천,incheon,59.978,Incheon
제주도,jejudo,58.355,Jeju
대전,daejeon,49.642,Daejeon
전주,jeonju,40.225,Jeonju
경주,gyeongju,35.158,Gyeongju
울산,ulsan,32.020,Ulsan
한양,hannyang,26.488,Hannyang
한국,hanguk,880.505,Korea
일본,ilbon,750.357,Japan
미국,miguk,724.469,USA
중국,jungguk,467.295,China
북한,bukan,462.196,North
러시아,reosia,138.253,Russia
영국,yeongguk,129.353,England
독일,dogil,129.274,Germany
프랑스,peurangseu,125.637,France
인도,indo,60.634,India
이라크,irakeu,58.604,Iraq
남한,namhan,53.363,South
이스라엘,iseurael,46.446,Israel
대만,daeman,43.102,Taiwan
홍콩,hongkong,34.409,Hong
대한민국,daehanminguk,31.393,Republic
이탈리아,itallia,31.122,Italy
베트남,beteunam,28.152,Vietnam
스페인,seupein,23.097,Spain
그리스,geuriseu,21.531,Greece
호주,hoju,21.004,Australia
캐나다,kaenada,20.871,Canada
브라질,beurajil,20.206,Brazil
멕시코,meksiko,18.546,Mexico
인도네시아,indonesia,16.556,Indonesia
네덜란드,nedeollandeu,15.997,Netherlands
이집트,ijipteu,15.765,Egypt
폴란드,pollandeu,15.635,Poland
조선,joseon,324.219,Joseon
신라,silla,86.965,Silla
고려,goryeo,83.783,Goryeo
고구려,goguryeo,45.471,Goguryeo
백제,baekje,42.713,Baekje
발해,balhae,15.292,Balhae
고조선,gojoseon,6.923,Old
가야,gaya,2.013,Gaya
미,mi,269.781,USA
북,buk,112.929,North
한,han,85.841,South
일,il,58.397,Japan
영,yeong,39.816,England
프,peu,29.817,France
중,jung,19.593,China
원,won,1101.146,won
달러,dalleo,147.856,dollar
카드,kadeu,94.814,card
엔,en,37.941,yen
어음,eoeum,33.087,note
현금,hyeongeum,29.831,cash
수표,supyo,22.853,check
동전,dongjeon,18.998,coin
위안,wian,13.825,yuan
지폐,jipye,12.736,bills
파운드,paundeu,4.617,pound
프랑,peurang,3.483,franc
체크카드,chekeukadeu,0.013,check
