Korean,Romanization,Frequency,English
좋다,jota,2093.367,good
웃다,utda,474.556,laugh/smile
울다,ulda,418.450,cry
좋아하다,joahada,269.810,like
싫다,silta,264.147,dislike/hate
무섭다,museopda,192.011,scary/frightening
사랑하다,saranghada,175.883,love
고맙다,gomapda,161.399,thankful
재미있다,jaemiitda,118.949,interesting/fun
미안하다,mianhada,112.940,sorry
편하다,pyeonhada,106.581,comfortable
정,jeong,98.086,affection/attachment
감사하다,gamsahada,81.591,grateful/thank
반갑다,bangapda,81.552,glad/pleased
즐겁다,jeulgeopda,75.704,pleasant/enjoyable
행복하다,haengbokhada,70.596,happy
불안하다,buranhada,68.767,anxious/uneasy
슬프다,seulpeuda,66.957,sad
답답하다,dapdaphada,66.953,frustrated/stuffy
부끄럽다,bukkeureopda,56.806,embarrassed/ashamed
기쁘다,gippeuda,56.168,happy/joyful
불편하다,bulpyeonhada,54.232,uncomfortable
두렵다,duryeopda,50.887,afraid/fearful
당황하다,danghwanghada,48.091,confused/flustered
피곤하다,pigonhada,47.438,tired
놀랍다,nollapda,46.620,surprising
억울하다,eogulhada,45.922,unfair/resentful
편안하다,pyeonanhada,41.387,peaceful/comfortable
외롭다,oeropda,40.599,lonely
한,han,38.939,resentment/regret
만족하다,manjokada,33.146,satisfied
불행하다,bulhaenghada,30.749,unhappy/unfortunate
우울하다,uulhada,29.538,depressed
심심하다,simsimhada,25.363,bored
미워하다,miwohada,24.792,hate
만만하다,manmanhada,22.970,easy/manageable
초조하다,chojohada,22.906,anxious/nervous
자랑스럽다,jarangseureopda,21.459,proud
지루하다,jiruhada,21.119,boring
안심하다,ansimhada,20.519,relieved
불쾌하다,bulkwaehada,19.423,unpleasant
재미없다,jaemieopda,16.178,boring/uninteresting
염려하다,yeomryeohada,15.481,worry
창피하다,changpihada,14.548,embarrassed
화나다,hwanada,13.117,angry/upset
든든하다,deundeunhada,10.393,reliable/strong
무관심하다,mugwansimhada,9.329,indifferent
졸리다,jollida,9.145,sleepy
부러워하다,bureowohada,8.944,envious
수줍다,sujupda,8.707,shy
상쾌하다,sangkwaehada,8.190,refreshing
대견하다,daegyeonhada,5.399,admirable
불만스럽다,bulmanseureopda,5.024,dissatisfied
통쾌하다,tongkwaehada,4.819,gratifying
질투하다,jiltuhada,3.101,jealous
혐오하다,hyeomohada,2.456,detest/hate
신나다,sinnada,1.147,excited
침착하다,chimchakhada,0.214,composed/calm
