Korean,Romanization,Frequency,English
어머니,eomeoni,812.530,mother
아버지,abeoji,758.891,father
아들,adeul,643.530,son
딸,ttal,454.676,daughter
남편,nampyeon,348.769,husband
형,hyeong,317.075,brother
부인,buin,314.194,wife
할머니,halmeoni,304.214,grandmother
아내,anae,288.347,wife
오빠,oppa,274.186,brother
동생,dongsaeng,202.091,brother
마누라,manula,121.439,wife
누나,nuna,89.566,sister
시어머니,sieomeoni,54.867,mother-in-law
고모부,gomo,51.380,aunt
삼촌,samchon,42.425,uncle
조카,joka,41.516,nephew
이모,imo,36.944,aunt
시아버지,siabeoji,36.653,father-in-law
누이,nui,33.649,sister
장인,jangin,29.832,father-in-law
장모,jangmo,21.004,mother-in-law
외삼촌,oesamchon,16.116,uncle
여동생,yeodongsaeng,14.653,sister
외할머니,oehalmeoni,10.277,grandmother
큰아버지,keunabeoji,9.292,uncle
작은아버지,jageunabeoji,8.816,uncle
남동생,namdongsaeng,8.264,younger
누이동생,nuidongsaeng,6.161,sister
이모부,imobu,4.704,uncle
고모부,gomobu,4.282,uncle
조카딸,jokattal,2.443,niece
