Korean,Romanization,Frequency,English
전화,jeonhwa,374.012,phone
컴퓨터,keompyuteo,184.149,computer
사무실,samusil,76.788,office
의자,uija,69.935,chair
책상,chaeksang,68.615,desk
이불,ibul,64.853,quilt
침대,chimdae,63.990,bed
거울,geoul,55.002,mirror
못,mot,44.311,nail
소파,sopa,32.068,sofa
탁자,takja,30.398,table
냉장고,naengjanggo,24.242,refrigerator
전화기,jeonhwagi,22.473,telephone
모니터,moniteo,16.796,monitor
베개,begae,15.038,pillow
오디오,odio,10.472,audio system
팩스,paekseu,10.290,fax
쓰레기통,sseuregitong,9.836,trash can
망치,mangchi,9.010,hammer
옷장,otjang,8.552,wardrobe
나사,nasa,8.445,screw
빗자루,bitjaru,7.005,broom
에어컨,eeokon,6.720,air conditioner
이메일,imeil,6.237,email
욕조,yokjo,6.173,bathtub
키보드,kibodeu,6.066,keyboard
변기,byeongi,5.963,toilet
책장,chaekjang,5.361,bookshelf
마우스,mauseu,4.635,mouse
싱크대,singkeudae,3.913,sink
찬장,chanjang,3.838,cupboard
화장대,hwajangdae,3.810,dressing table
드라이버,deuraibeo,2.584,screwdriver
세면대,semyeondae,2.483,washbasin
청소기,cheongsogi,1.835,vacuum cleaner
복사기,boksagi,1.585,copier
볼트,bolteu,1.550,bolt
드릴,deuril,1.431,drill
너트,neoteu,0.855,nut
계량기,gyeryanggi,0.588,meter
스패너,seupaeneo,0.549,spanner
쓰레받기,sseurebatgi,0.431,dustpan
두꺼비집,dukkeobijip,0.337,fuse box
펜치,penchi,0.308,pliers
먼지떨이,meonjitteori,0.157,duster
