Korean,Romanization,Frequency,English
유럽,yureop,122.092,Europe
아시아,asia,85.569,Asia
한반도,hanbando,72.228,Korean
아프리카,apeurika,30.672,Africa
중동,jungdong,24.742,Middle
금강산,geumgangsan,37.197,Geumgang
지리산,jirisan,30.342,Jiri
남산,namsan,30.244,Nam
백두산,baekdusan,25.496,Baekdu
한라산,hallasan,11.350,Halla
설악산,seoraksan,10.276,Seorak
태백산,taebaeksan,8.315,Taebaek
오대산,odaesan,4.937,Odae
북한산,bukansan,3.983,Bukan
태평양,taepyeongyang,28.847,Pacific
동해,donghae,20.477,East
서해,seohae,20.464,West
남해,namhae,12.293,South
홍해,honghae,5.833,Red
북해,bukhae,4.123,North
대서양,daeseoyang,3.967,Atlantic
인도양,indoyang,1.699,Indian
지중해,jijunghae,0.150,Mediterranean
한강,hangang,53.194,Han
낙동강,nakdonggang,15.778,Nakdong
압록강,amnokgang,13.631,Amnok
대동강,daedonggang,12.499,Daedong
두만강,dumangang,9.276,Duman
금강,geumgang,8.321,Geum
영산강,yeongsangang,6.301,Yeongsan
