Korean,Romanization,Frequency,English
강하다,ganghada,140.244,strong
맛있다,masitda,83.199,delicious
약하다,yakhada,81.020,weak
풍부하다,pungbuhada,36.186,rich
맵다,maepda,16.988,spicy
달다,dalda,15.376,sweet
싱겁다,singgeopda,13.128,bland
짜다,jjada,9.517,salty
시다,sida,9.182,sour
쓰다,sseuda,7.063,bitter
고소하다,gosohada,6.163,nutty/savory
담백하다,dambaekhada,3.921,light/plain
느끼하다,neukkihada,3.614,greasy/oily
맛없다,maseopda,3.023,not tasty
상큼하다,sangkeumhada,2.884,refreshing/tangy
얼큰하다,eolkeunhada,2.823,spicy-hot
바삭하다,basakhada,2.500,crispy
촉촉하다,chokchokada,2.300,moist
새콤하다,saekomhada,2.100,tart/tangy
부드럽다,budeureopda,2.000,soft/smooth
