Korean,Romanization,Frequency,English
차,cha,408.157,car
배,bae,304.058,ship
자동차,jadongcha,133.424,car
버스,beoseu,114.903,bus
택시,taeksi,70.141,taxi
비행기,bihaenggi,58.223,airplane
자전거,jajeongeo,40.089,bicycle
지하철,jihacheol,39.605,subway
요금,yogeum,30.426,fare
오토바이,otobai,19.066,motorcycle
터미널,teomineol,13.948,terminal
자가용,jagayong,12.175,private
정류장,jeongnyujang,11.566,station
고속버스,gosokbeoseu,5.902,express
시내버스,sinaebeoseu,4.156,city
매표소,maepyoso,2.360,ticket
통행료,tonghaengnyo,2.267,toll
환승,hwanseung,0.992,transfer
