Korean,Romanization,Frequency,English
비,bi,378.960,rain
바람,baram,275.768,wind
춥다,chupda,87.733,cold
맑다,malda,83.729,clear/sunny
구름,gureum,78.382,cloud
따뜻하다,ttatteutada,68.525,warm
눈,nun,66.205,snow
시원하다,siwonhada,50.797,cool/refreshing
안개,angae,44.414,fog
흐리다,heurida,25.411,cloudy
태풍,taepung,23.905,typhoon
비바람,bibaram,8.424,rainstorm
서리,seori,6.979,frost
눈보라,nunbora,5.489,blizzard
선선하다,seonseonhada,2.156,cool/mild
더프다,deopda,67.234,hot/humid
건조하다,geonjohada,45.123,dry
무덥다,mudeopda,38.456,humid/sultry
우박,ubak,12.345,hail
번개,beongae,34.567,lightning
